week_start,repository,pr_creations,estimated_push_updates,pr_events,completed_review_signals,blocked_comments
2026-06-01,llxprt-code,18,24,42,20,0
2026-06-01,llxprt-jefe,0,0,0,0,0
2026-06-01,llxprt-luther,2,1,3,1,0
2026-06-01,all-llxprt,20,25,45,21,0
2026-06-08,llxprt-code,34,123,157,37,8
2026-06-08,llxprt-jefe,1,1,2,1,1
2026-06-08,llxprt-luther,18,6,24,6,13
2026-06-08,all-llxprt,53,130,183,44,22
2026-06-15,llxprt-code,32,86,118,32,3
2026-06-15,llxprt-jefe,7,8,15,8,1
2026-06-15,llxprt-luther,6,4,10,5,5
2026-06-15,all-llxprt,45,98,143,45,9
2026-06-22,llxprt-code,58,258,316,85,29
2026-06-22,llxprt-jefe,12,37,49,13,6
2026-06-22,llxprt-luther,8,10,18,7,5
2026-06-22,all-llxprt,78,305,383,105,40
2026-06-29,llxprt-code,54,255,309,60,31
2026-06-29,llxprt-jefe,16,15,31,8,12
2026-06-29,llxprt-luther,23,52,75,16,20
2026-06-29,all-llxprt,93,322,415,84,63
2026-07-06,llxprt-code,82,801,883,43,35
2026-07-06,llxprt-jefe,50,246,296,40,45
2026-07-06,llxprt-luther,10,68,78,12,10
2026-07-06,all-llxprt,142,1115,1257,95,90
2026-07-13,llxprt-code,13,284,297,6,8
2026-07-13,llxprt-jefe,25,151,176,17,24
2026-07-13,llxprt-luther,0,0,0,1,0
2026-07-13,all-llxprt,38,435,473,24,32
